Time	Work 0	Work 1	Work 2	Work 3	Work 4	Avail	Done	Remaining
81	C(61)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
82	C(60)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
83	C(59)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
84	C(58)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
85	C(57)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
86	C(56)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
87	C(55)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
88	C(54)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
89	C(53)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
90	C(52)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
91	C(51)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
92	C(50)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
93	C(49)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
94	C(48)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
95	C(47)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
96	C(46)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
97	C(45)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
98	C(44)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
99	C(43)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
100	C(42)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
101	C(41)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
102	C(40)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
103	C(39)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
104	C(38)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
105	C(37)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
106	C(36)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
107	C(35)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
108	C(34)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
109	C(33)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
110	C(32)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
111	C(31)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
112	C(30)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
113	C(29)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
114	C(28)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
115	C(27)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
116	C(26)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
117	C(25)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
118	C(24)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
119	C(23)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
120	C(22)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
121	C(21)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
122	C(20)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
123	C(19)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
124	C(18)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
125	C(17)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
126	C(16)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
127	C(15)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
128	C(14)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
129	C(13)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
130	C(12)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
131	C(11)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
132	C(10)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
133	C(9)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
134	C(8)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
135	C(7)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
136	C(6)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
137	C(5)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
138	C(4)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
139	C(3)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
140	C(2)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
141	C(1)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
142	L(72)	P(76)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
143	L(71)	P(75)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
144	L(70)	P(74)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
145	L(69)	P(73)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
146	L(68)	P(72)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
147	L(67)	P(71)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
148	L(66)	P(70)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
149	L(65)	P(69)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
150	L(64)	P(68)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
151	L(63)	P(67)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
152	L(62)	P(66)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
153	L(61)	P(65)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
154	L(60)	P(64)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
155	L(59)	P(63)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
156	L(58)	P(62)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
157	L(57)	P(61)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
158	L(56)	P(60)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
159	L(55)	P(59)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
160	L(54)	P(58)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
161	L(53)	P(57)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
162	L(52)	P(56)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
163	L(51)	P(55)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
164	L(50)	P(54)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
165	L(49)	P(53)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
166	L(48)	P(52)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
167	L(47)	P(51)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
168	L(46)	P(50)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
169	L(45)	P(49)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
170	L(44)	P(48)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
171	L(43)	P(47)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
172	L(42)	P(46)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
173	L(41)	P(45)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
174	L(40)	P(44)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
175	L(39)	P(43)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
176	L(38)	P(42)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
177	L(37)	P(41)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
178	L(36)	P(40)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
179	L(35)	P(39)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
180	L(34)	P(38)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
181	L(33)	P(37)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
182	L(32)	P(36)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
183	L(31)	P(35)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
184	L(30)	P(34)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
185	L(29)	P(33)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
186	L(28)	P(32)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
187	L(27)	P(31)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
188	L(26)	P(30)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
189	L(25)	P(29)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
190	L(24)	P(28)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
191	L(23)	P(27)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
192	L(22)	P(26)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
193	L(21)	P(25)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
194	L(20)	P(24)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
195	L(19)	P(23)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
196	L(18)	P(22)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
197	L(17)	P(21)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
198	L(16)	P(20)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
199	L(15)	P(19)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
200	L(14)	P(18)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
201	L(13)	P(17)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
202	L(12)	P(16)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
203	L(11)	P(15)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
204	L(10)	P(14)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
205	L(9)	P(13)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
206	L(8)	P(12)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
207	L(7)	P(11)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
208	L(6)	P(10)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
209	L(5)	P(9)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
210	L(4)	P(8)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
211	L(3)	P(7)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
212	L(2)	P(6)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
213	L(1)	P(5)	.	.	.		SC	ABDEFGHIJKMNOQRTUVWXYZ
214	V(82)	P(4)	W(83)	.	.		SCL	ABDEFGHIJKMNOQRTUXYZ
215	V(81)	P(3)	W(82)	.	.		SCL	ABDEFGHIJKMNOQRTUXYZ
216	V(80)	P(2)	W(81)	.	.		SCL	ABDEFGHIJKMNOQRTUXYZ
217	V(79)	P(1)	W(80)	.	.		SCL	ABDEFGHIJKMNOQRTUXYZ
218	V(78)	A(61)	W(79)	M(73)	Q(77)	Y	SCLP	BDEFGHIJKNORTUXYZ
219	V(77)	A(60)	W(78)	M(72)	Q(76)	Y	SCLP	BDEFGHIJKNORTUXYZ
220	V(76)	A(59)	W(77)	M(71)	Q(75)	Y	SCLP	BDEFGHIJKNORTUXYZ
221	V(75)	A(58)	W(76)	M(70)	Q(74)	Y	SCLP	BDEFGHIJKNORTUXYZ
222	V(74)	A(57)	W(75)	M(69)	Q(73)	Y	SCLP	BDEFGHIJKNORTUXYZ
223	V(73)	A(56)	W(74)	M(68)	Q(72)	Y	SCLP	BDEFGHIJKNORTUXYZ
224	V(72)	A(55)	W(73)	M(67)	Q(71)	Y	SCLP	BDEFGHIJKNORTUXYZ
225	V(71)	A(54)	W(72)	M(66)	Q(70)	Y	SCLP	BDEFGHIJKNORTUXYZ
226	V(70)	A(53)	W(71)	M(65)	Q(69)	Y	SCLP	BDEFGHIJKNORTUXYZ
227	V(69)	A(52)	W(70)	M(64)	Q(68)	Y	SCLP	BDEFGHIJKNORTUXYZ
228	V(68)	A(51)	W(69)	M(63)	Q(67)	Y	SCLP	BDEFGHIJKNORTUXYZ
229	V(67)	A(50)	W(68)	M(62)	Q(66)	Y	SCLP	BDEFGHIJKNORTUXYZ
230	V(66)	A(49)	W(67)	M(61)	Q(65)	Y	SCLP	BDEFGHIJKNORTUXYZ
231	V(65)	A(48)	W(66)	M(60)	Q(64)	Y	SCLP	BDEFGHIJKNORTUXYZ
232	V(64)	A(47)	W(65)	M(59)	Q(63)	Y	SCLP	BDEFGHIJKNORTUXYZ
233	V(63)	A(46)	W(64)	M(58)	Q(62)	Y	SCLP	BDEFGHIJKNORTUXYZ
234	V(62)	A(45)	W(63)	M(57)	Q(61)	Y	SCLP	BDEFGHIJKNORTUXYZ
235	V(61)	A(44)	W(62)	M(56)	Q(60)	Y	SCLP	BDEFGHIJKNORTUXYZ
236	V(60)	A(43)	W(61)	M(55)	Q(59)	Y	SCLP	BDEFGHIJKNORTUXYZ
237	V(59)	A(42)	W(60)	M(54)	Q(58)	Y	SCLP	BDEFGHIJKNORTUXYZ
238	V(58)	A(41)	W(59)	M(53)	Q(57)	Y	SCLP	BDEFGHIJKNORTUXYZ
239	V(57)	A(40)	W(58)	M(52)	Q(56)	Y	SCLP	BDEFGHIJKNORTUXYZ
240	V(56)	A(39)	W(57)	M(51)	Q(55)	Y	SCLP	BDEFGHIJKNORTUXYZ
241	V(55)	A(38)	W(56)	M(50)	Q(54)	Y	SCLP	BDEFGHIJKNORTUXYZ
242	V(54)	A(37)	W(55)	M(49)	Q(53)	Y	SCLP	BDEFGHIJKNORTUXYZ
243	V(53)	A(36)	W(54)	M(48)	Q(52)	Y	SCLP	BDEFGHIJKNORTUXYZ
244	V(52)	A(35)	W(53)	M(47)	Q(51)	Y	SCLP	BDEFGHIJKNORTUXYZ
245	V(51)	A(34)	W(52)	M(46)	Q(50)	Y	SCLP	BDEFGHIJKNORTUXYZ
246	V(50)	A(33)	W(51)	M(45)	Q(49)	Y	SCLP	BDEFGHIJKNORTUXYZ
247	V(49)	A(32)	W(50)	M(44)	Q(48)	Y	SCLP	BDEFGHIJKNORTUXYZ
248	V(48)	A(31)	W(49)	M(43)	Q(47)	Y	SCLP	BDEFGHIJKNORTUXYZ
249	V(47)	A(30)	W(48)	M(42)	Q(46)	Y	SCLP	BDEFGHIJKNORTUXYZ
250	V(46)	A(29)	W(47)	M(41)	Q(45)	Y	SCLP	BDEFGHIJKNORTUXYZ
251	V(45)	A(28)	W(46)	M(40)	Q(44)	Y	SCLP	BDEFGHIJKNORTUXYZ
252	V(44)	A(27)	W(45)	M(39)	Q(43)	Y	SCLP	BDEFGHIJKNORTUXYZ
253	V(43)	A(26)	W(44)	M(38)	Q(42)	Y	SCLP	BDEFGHIJKNORTUXYZ
254	V(42)	A(25)	W(43)	M(37)	Q(41)	Y	SCLP	BDEFGHIJKNORTUXYZ
255	V(41)	A(24)	W(42)	M(36)	Q(40)	Y	SCLP	BDEFGHIJKNORTUXYZ
256	V(40)	A(23)	W(41)	M(35)	Q(39)	Y	SCLP	BDEFGHIJKNORTUXYZ
257	V(39)	A(22)	W(40)	M(34)	Q(38)	Y	SCLP	BDEFGHIJKNORTUXYZ
258	V(38)	A(21)	W(39)	M(33)	Q(37)	Y	SCLP	BDEFGHIJKNORTUXYZ
259	V(37)	A(20)	W(38)	M(32)	Q(36)	Y	SCLP	BDEFGHIJKNORTUXYZ
260	V(36)	A(19)	W(37)	M(31)	Q(35)	Y	SCLP	BDEFGHIJKNORTUXYZ
261	V(35)	A(18)	W(36)	M(30)	Q(34)	Y	SCLP	BDEFGHIJKNORTUXYZ
262	V(34)	A(17)	W(35)	M(29)	Q(33)	Y	SCLP	BDEFGHIJKNORTUXYZ
263	V(33)	A(16)	W(34)	M(28)	Q(32)	Y	SCLP	BDEFGHIJKNORTUXYZ
264	V(32)	A(15)	W(33)	M(27)	Q(31)	Y	SCLP	BDEFGHIJKNORTUXYZ
265	V(31)	A(14)	W(32)	M(26)	Q(30)	Y	SCLP	BDEFGHIJKNORTUXYZ
266	V(30)	A(13)	W(31)	M(25)	Q(29)	Y	SCLP	BDEFGHIJKNORTUXYZ
267	V(29)	A(12)	W(30)	M(24)	Q(28)	Y	SCLP	BDEFGHIJKNORTUXYZ
268	V(28)	A(11)	W(29)	M(23)	Q(27)	Y	SCLP	BDEFGHIJKNORTUXYZ
269	V(27)	A(10)	W(28)	M(22)	Q(26)	Y	SCLP	BDEFGHIJKNORTUXYZ
270	V(26)	A(9)	W(27)	M(21)	Q(25)	Y	SCLP	BDEFGHIJKNORTUXYZ
271	V(25)	A(8)	W(26)	M(20)	Q(24)	Y	SCLP	BDEFGHIJKNORTUXYZ
272	V(24)	A(7)	W(25)	M(19)	Q(23)	Y	SCLP	BDEFGHIJKNORTUXYZ
273	V(23)	A(6)	W(24)	M(18)	Q(22)	Y	SCLP	BDEFGHIJKNORTUXYZ
274	V(22)	A(5)	W(23)	M(17)	Q(21)	Y	SCLP	BDEFGHIJKNORTUXYZ
275	V(21)	A(4)	W(22)	M(16)	Q(20)	Y	SCLP	BDEFGHIJKNORTUXYZ
276	V(20)	A(3)	W(21)	M(15)	Q(19)	Y	SCLP	BDEFGHIJKNORTUXYZ
277	V(19)	A(2)	W(20)	M(14)	Q(18)	Y	SCLP	BDEFGHIJKNORTUXYZ
278	V(18)	A(1)	W(19)	M(13)	Q(17)	Y	SCLP	BDEFGHIJKNORTUXYZ
279	V(17)	Y(85)	W(18)	M(12)	Q(16)		SCLPA	BDEFGHIJKNORTUXZ
280	V(16)	Y(84)	W(17)	M(11)	Q(15)		SCLPA	BDEFGHIJKNORTUXZ
281	V(15)	Y(83)	W(16)	M(10)	Q(14)		SCLPA	BDEFGHIJKNORTUXZ
282	V(14)	Y(82)	W(15)	M(9)	Q(13)		SCLPA	BDEFGHIJKNORTUXZ
283	V(13)	Y(81)	W(14)	M(8)	Q(12)		SCLPA	BDEFGHIJKNORTUXZ
284	V(12)	Y(80)	W(13)	M(7)	Q(11)		SCLPA	BDEFGHIJKNORTUXZ
285	V(11)	Y(79)	W(12)	M(6)	Q(10)		SCLPA	BDEFGHIJKNORTUXZ
286	V(10)	Y(78)	W(11)	M(5)	Q(9)		SCLPA	BDEFGHIJKNORTUXZ
287	V(9)	Y(77)	W(10)	M(4)	Q(8)		SCLPA	BDEFGHIJKNORTUXZ
288	V(8)	Y(76)	W(9)	M(3)	Q(7)		SCLPA	BDEFGHIJKNORTUXZ
289	V(7)	Y(75)	W(8)	M(2)	Q(6)		SCLPA	BDEFGHIJKNORTUXZ
290	V(6)	Y(74)	W(7)	M(1)	Q(5)		SCLPA	BDEFGHIJKNORTUXZ
291	V(5)	Y(73)	W(6)	.	Q(4)		SCLPAM	BDEFGHIJKNORTUXZ
292	V(4)	Y(72)	W(5)	.	Q(3)		SCLPAM	BDEFGHIJKNORTUXZ
293	V(3)	Y(71)	W(4)	.	Q(2)		SCLPAM	BDEFGHIJKNORTUXZ
294	V(2)	Y(70)	W(3)	.	Q(1)		SCLPAM	BDEFGHIJKNORTUXZ
295	V(1)	Y(69)	W(2)	.	.		SCLPAMQ	BDEFGHIJKNORTUXZ
296	U(81)	Y(68)	W(1)	.	.		SCLPAMQV	BDEFGHIJKNORTXZ
297	U(80)	Y(67)	N(74)	.	.		SCLPAMQVW	BDEFGHIJKORTXZ
298	U(79)	Y(66)	N(73)	.	.		SCLPAMQVW	BDEFGHIJKORTXZ
299	U(78)	Y(65)	N(72)	.	.		SCLPAMQVW	BDEFGHIJKORTXZ
300	U(77)	Y(64)	N(71)	.	.		SCLPAMQVW	BDEFGHIJKORTXZ
301	U(76)	Y(63)	N(70)	.	.		SCLPAMQVW	BDEFGHIJKORTXZ
